Name: Rue Chauveau, Instruction: Head northwest on Rue Chauveau, Distance: 9.3 meters, Time: 6.7 seconds
Name: Boulevard de la Saussaye, Instruction: Turn left onto Boulevard de la Saussaye, Distance: 746.3 meters, Time: 537.3 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 166.8 meters, Time: 120.1 seconds
Name: Rue Soyer, Instruction: Turn right onto Rue Soyer, Distance: 52.8 meters, Time: 38.0 seconds
Name: Rue Ybry, Instruction: Turn left onto Rue Ybry, Distance: 329.8 meters, Time: 237.5 seconds
Name: Avenue Charles de Gaulle, Instruction: Turn right onto Avenue Charles de Gaulle, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 51.4 meters, Time: 37.0 seconds
Name: Avenue Charles de Gaulle, Instruction: Turn right onto Avenue Charles de Gaulle, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Keep left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Keep right, Distance: 90.5 meters, Time: 65.1 seconds
Name: Pont de Neuilly, Instruction: Turn sharp right onto Pont de Neuilly, Distance: 142.7 meters, Time: 102.7 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 264.0 meters, Time: 190.1 seconds
Name: -, Instruction: Keep left, Distance: 54.2 meters, Time: 39.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
