Name: Alton Avenue, Instruction: Head north on Alton Avenue, Distance: 591.0 meters, Time: 425.5 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Turn left, Distance: 117.4 meters, Time: 84.5 seconds
Name: -, Instruction: Turn left, Distance: 164.2 meters, Time: 118.2 seconds
Name: -, Instruction: Keep right, Distance: 92.7 meters, Time: 66.7 seconds
Name: -, Instruction: Keep right, Distance: 94.8 meters, Time: 68.2 seconds
Name: -, Instruction: Keep right, Distance: 537.4 meters, Time: 386.9 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Keep left, Distance: 80.9 meters, Time: 58.3 seconds
Name: -, Instruction: Keep right, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 91.6 meters, Time: 65.9 seconds
Name: -, Instruction: Turn right, Distance: 71.6 meters, Time: 51.6 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
