Name: Clearview Heights, Instruction: Head west on Clearview Heights, Distance: 86.9 meters, Time: 62.5 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 830.0 meters, Time: 597.6 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: Trethewey Drive, Instruction: Turn right onto Trethewey Drive, Distance: 217.7 meters, Time: 156.8 seconds
Name: -, Instruction: Turn left, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn left, Distance: 199.0 meters, Time: 143.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
