Name: Ludwigstraße, Instruction: Head south on Ludwigstraße, Distance: 115.9 meters, Time: 83.4 seconds
Name: Franz-Schubert-Straße, Instruction: Turn right onto Franz-Schubert-Straße, Distance: 78.8 meters, Time: 56.7 seconds
Name: Johann-Sebastian-Bach-Straße, Instruction: Turn left onto Johann-Sebastian-Bach-Straße, Distance: 127.6 meters, Time: 91.9 seconds
Name: -, Instruction: Continue straight, Distance: 121.9 meters, Time: 87.8 seconds
Name: Max-Reger-Straße, Instruction: Turn right onto Max-Reger-Straße, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 84.2 meters, Time: 60.6 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.6 seconds
Name: Landsberger Straße, Instruction: Turn right onto Landsberger Straße, Distance: 80.9 meters, Time: 58.3 seconds
Name: Geschwister-Scholl-Ring, Instruction: Turn left onto Geschwister-Scholl-Ring, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn right, Distance: 79.1 meters, Time: 56.9 seconds
Name: -, Instruction: Keep right, Distance: 286.1 meters, Time: 206.0 seconds
Name: -, Instruction: Turn slight left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn left, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
