Name: Plein Street, Instruction: Head south on Plein Street, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 132.0 meters, Time: 95.0 seconds
Name: -, Instruction: Turn left, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Turn left, Distance: 176.7 meters, Time: 127.2 seconds
Name: Davison Road, Instruction: Turn right onto Davison Road, Distance: 61.5 meters, Time: 44.3 seconds
Name: Grey Street, Instruction: Turn left onto Grey Street, Distance: 342.8 meters, Time: 246.8 seconds
Name: Newmarket Street, R102, Instruction: Turn right onto Newmarket Street, R102, Distance: 52.4 meters, Time: 37.7 seconds
Name: Barron Street, Instruction: Turn left onto Barron Street, Distance: 188.3 meters, Time: 135.6 seconds
Name: Victoria Road, M4, Instruction: Turn right onto Victoria Road, M4, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 91.9 meters, Time: 66.2 seconds
Name: -, Instruction: Keep left, Distance: 107.3 meters, Time: 77.3 seconds
Name: Searle Street, Instruction: Turn right onto Searle Street, Distance: 5.4 meters, Time: 3.9 seconds
Name: Chapel Street, Instruction: Turn left onto Chapel Street, Distance: 444.2 meters, Time: 319.8 seconds
Name: Chapel Street, Instruction: Keep right onto Chapel Street, Distance: 64.6 meters, Time: 46.5 seconds
Name: Chapel Street, Instruction: Enter the roundabout and take the 3rd exit onto Chapel Street, Distance: 249.5 meters, Time: 179.6 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: Matveld Street, Instruction: Turn left onto Matveld Street, Distance: 67.4 meters, Time: 48.5 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 73.2 meters, Time: 52.7 seconds
Name: Sydney Street, Instruction: Turn left onto Sydney Street, Distance: 95.2 meters, Time: 68.5 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 34.4 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 257.1 meters, Time: 185.1 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn left, Distance: 203.1 meters, Time: 146.2 seconds
Name: -, Instruction: Turn slight right, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Turn right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn slight right, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
