Name: Gerhart-Hauptmann-Ring, Instruction: Head northwest on Gerhart-Hauptmann-Ring, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Keep left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn slight right, Distance: 193.4 meters, Time: 139.2 seconds
Name: Sudermannallee, Instruction: Turn left onto Sudermannallee, Distance: 110.7 meters, Time: 79.7 seconds
Name: Kafkastraße, Instruction: Turn right onto Kafkastraße, Distance: 241.2 meters, Time: 173.6 seconds
Name: Kafkastraße, Instruction: Keep left onto Kafkastraße, Distance: 113.4 meters, Time: 81.6 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 241.2 meters, Time: 173.6 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 17.4 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn left, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Turn right, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: Heinz-Hilpert-Straße, Instruction: Turn right onto Heinz-Hilpert-Straße, Distance: 73.1 meters, Time: 52.6 seconds
Name: Therese-Giehse-Allee, Instruction: Turn left onto Therese-Giehse-Allee, Distance: 282.4 meters, Time: 203.3 seconds
Name: Helmut-Käutner-Straße, Instruction: Turn right onto Helmut-Käutner-Straße, Distance: 17.3 meters, Time: 12.5 seconds
Name: Therese-Giehse-Allee, Instruction: Turn left onto Therese-Giehse-Allee, Distance: 410.6 meters, Time: 295.6 seconds
Name: Therese-Giehse-Allee, Instruction: Turn slight right onto Therese-Giehse-Allee, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn slight right, Distance: 251.6 meters, Time: 181.1 seconds
Name: -, Instruction: Turn left, Distance: 65.7 meters, Time: 47.3 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: Gustav-Heinemann-Ring, Instruction: Turn left onto Gustav-Heinemann-Ring, Distance: 55.6 meters, Time: 40.0 seconds
Name: Carlo-Schmid-Straße, Instruction: Turn right onto Carlo-Schmid-Straße, Distance: 46.6 meters, Time: 33.5 seconds
Name: Carlo-Schmid-Straße, Instruction: Turn slight left onto Carlo-Schmid-Straße, Distance: 46.4 meters, Time: 33.4 seconds
Name: Carlo-Schmid-Straße, Instruction: Continue straight onto Carlo-Schmid-Straße, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Arrive at Carlo-Schmid-Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
