Name: Rue Jean Fautrier, Instruction: Head southwest on Rue Jean Fautrier, Distance: 158.8 meters, Time: 114.3 seconds
Name: -, Instruction: Turn left, Distance: 40.1 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: Rue du Château des Rentiers, Instruction: Turn left onto Rue du Château des Rentiers, Distance: 74.1 meters, Time: 53.3 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Passage National, Instruction: Turn right onto Passage National, Distance: 156.4 meters, Time: 112.6 seconds
Name: -, Instruction: Turn left, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 127.8 meters, Time: 92.0 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 27.2 meters, Time: 19.6 seconds
Name: Villa d'Este, Instruction: Turn slight right onto Villa d'Este, Distance: 267.5 meters, Time: 192.6 seconds
Name: -, Instruction: Turn right, Distance: 75.7 meters, Time: 54.5 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 55.5 meters, Time: 40.0 seconds
Name: Rue Caillaux, Instruction: Turn left onto Rue Caillaux, Distance: 398.1 meters, Time: 286.6 seconds
Name: Allée Alexandre Vialatte, Instruction: Turn left onto Allée Alexandre Vialatte, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn slight left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: Rue du Moulin de la Pointe, Instruction: Turn left onto Rue du Moulin de la Pointe, Distance: 25.9 meters, Time: 18.6 seconds
Name: Rue du Tibre, Instruction: Turn right onto Rue du Tibre, Distance: 79.8 meters, Time: 57.4 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight right, Distance: 77.6 meters, Time: 55.8 seconds
Name: -, Instruction: Turn right, Distance: 67.2 meters, Time: 48.4 seconds
Name: Boulevard Kellermann, Instruction: Keep left onto Boulevard Kellermann, Distance: 245.2 meters, Time: 176.5 seconds
Name: -, Instruction: Turn left, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
