Name: ムーンロード, Instruction: Head north on ムーンロード, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 182.6 meters, Time: 131.5 seconds
Name: -, Instruction: Turn right, Distance: 73.3 meters, Time: 52.8 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.8 seconds
Name: 東中野駅西口駅前広場, Instruction: Turn left onto 東中野駅西口駅前広場, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 29.4 meters, Time: 21.2 seconds
Name: 桜山通り, Instruction: Turn right onto 桜山通り, Distance: 89.5 meters, Time: 64.4 seconds
Name: -, Instruction: Turn right, Distance: 327.7 meters, Time: 236.0 seconds
Name: -, Instruction: Turn left, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 532.5 meters, Time: 383.4 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
