Name: Rua Laura de Araújo, Instruction: Head south on Rua Laura de Araújo, Distance: 75.1 meters, Time: 54.1 seconds
Name: Rua Júlio Carmo, Instruction: Turn right onto Rua Júlio Carmo, Distance: 91.9 meters, Time: 66.2 seconds
Name: Rua Júlio Carmo, Instruction: Continue straight onto Rua Júlio Carmo, Distance: 115.0 meters, Time: 82.8 seconds
Name: Rua Júlio Carmo, Instruction: Continue straight onto Rua Júlio Carmo, Distance: 183.4 meters, Time: 132.1 seconds
Name: Rua Júlio Carmo, Instruction: Keep right onto Rua Júlio Carmo, Distance: 27.0 meters, Time: 19.4 seconds
Name: Rua Pinto de Azevedo, Instruction: Turn left onto Rua Pinto de Azevedo, Distance: 11.0 meters, Time: 7.9 seconds
Name: Alameda Engenheiro José de Oliveira Reis, Instruction: Turn right onto Alameda Engenheiro José de Oliveira Reis, Distance: 236.7 meters, Time: 170.5 seconds
Name: Rua Dom Marcos Barbosa, Instruction: Turn left onto Rua Dom Marcos Barbosa, Distance: 17.9 meters, Time: 12.9 seconds
Name: Rua Dom Marcos Barbosa, Instruction: Continue straight onto Rua Dom Marcos Barbosa, Distance: 86.7 meters, Time: 62.4 seconds
Name: Rua Ulysses Guimarães, Instruction: Turn right onto Rua Ulysses Guimarães, Distance: 223.8 meters, Time: 161.1 seconds
Name: Rua Joaquim Palhares, Instruction: Turn right onto Rua Joaquim Palhares, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 28.0 meters, Time: 20.1 seconds
Name: Rua Joaquim Palhares, Instruction: Turn right onto Rua Joaquim Palhares, Distance: 116.6 meters, Time: 84.0 seconds
Name: -, Instruction: Keep left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Keep right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 35.9 meters, Time: 25.9 seconds
Name: Avenida Paulo de Frontin, Instruction: Turn right onto Avenida Paulo de Frontin, Distance: 8.8 meters, Time: 6.4 seconds
Name: Rua Joaquim Palhares, Instruction: Turn left onto Rua Joaquim Palhares, Distance: 90.2 meters, Time: 65.0 seconds
Name: Rua Barão de Ubá, Instruction: Turn sharp left onto Rua Barão de Ubá, Distance: 125.8 meters, Time: 90.6 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
