Name: Rue Dombasle, Instruction: Head east on Rue Dombasle, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 151.7 meters, Time: 109.2 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 413.0 meters, Time: 297.4 seconds
Name: -, Instruction: Turn slight left, Distance: 98.7 meters, Time: 71.1 seconds
Name: -, Instruction: Turn slight left, Distance: 176.1 meters, Time: 126.8 seconds
Name: -, Instruction: Turn left, Distance: 252.1 meters, Time: 181.5 seconds
Name: -, Instruction: Keep right, Distance: 181.4 meters, Time: 130.6 seconds
Name: -, Instruction: Turn right, Distance: 32.9 meters, Time: 23.7 seconds
Name: Rue Vercingétorix, Instruction: Turn slight left onto Rue Vercingétorix, Distance: 139.3 meters, Time: 100.3 seconds
Name: Place Slimane Azem, Instruction: Turn slight left onto Place Slimane Azem, Distance: 6.3 meters, Time: 4.5 seconds
Name: Place Slimane Azem, Instruction: Turn slight right onto Place Slimane Azem, Distance: 15.5 meters, Time: 11.1 seconds
Name: Rue Vercingétorix, Instruction: Turn left onto Rue Vercingétorix, Distance: 57.2 meters, Time: 41.2 seconds
Name: Place de Catalogne, Instruction: Turn right onto Place de Catalogne, Distance: 98.0 meters, Time: 70.5 seconds
Name: -, Instruction: Turn right, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn slight right, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: Rue Jules Guesde, Instruction: Turn right onto Rue Jules Guesde, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Arrive at Rue Jules Guesde, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
