Name: Maxhofweg, Instruction: Head southeast on Maxhofweg, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 29.1 meters, Time: 21.0 seconds
Name: -, Instruction: Turn right, Distance: 212.9 meters, Time: 153.3 seconds
Name: -, Instruction: Turn right, Distance: 29.1 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 401.5 meters, Time: 289.1 seconds
Name: Alte Forstenrieder Straße, Instruction: Continue straight onto Alte Forstenrieder Straße, Distance: 248.6 meters, Time: 179.0 seconds
Name: -, Instruction: Turn right, Distance: 160.8 meters, Time: 115.8 seconds
Name: -, Instruction: Keep right, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: Maxhofstraße, Instruction: Turn slight right onto Maxhofstraße, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
