Name: Brentcliffe Road, Instruction: Head southeast on Brentcliffe Road, Distance: 45.8 meters, Time: 33.0 seconds
Name: -, Instruction: Turn right, Distance: 129.6 meters, Time: 93.3 seconds
Name: -, Instruction: Turn left, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Turn right, Distance: 204.4 meters, Time: 147.2 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Broadway Avenue, Instruction: Turn right onto Broadway Avenue, Distance: 4.4 meters, Time: 3.2 seconds
Name: Sutherland Drive, Instruction: Turn left onto Sutherland Drive, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 208.2 meters, Time: 149.9 seconds
Name: -, Instruction: Turn left, Distance: 89.5 meters, Time: 64.5 seconds
Name: -, Instruction: Keep right, Distance: 460.0 meters, Time: 331.2 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 145.2 meters, Time: 104.6 seconds
Name: -, Instruction: Turn left, Distance: 128.9 meters, Time: 92.8 seconds
Name: -, Instruction: Turn right, Distance: 261.7 meters, Time: 188.4 seconds
Name: -, Instruction: Keep left, Distance: 88.6 meters, Time: 63.8 seconds
Name: -, Instruction: Keep left, Distance: 90.7 meters, Time: 65.3 seconds
Name: Banff Road, Instruction: Turn left onto Banff Road, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 219.6 meters, Time: 158.1 seconds
Name: Petman Avenue, Instruction: Turn right onto Petman Avenue, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Arrive at Petman Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
