Name: Meredith Street, Instruction: Head southeast on Meredith Street, Distance: 27.2 meters, Time: 19.6 seconds
Name: Addison Street, Instruction: Turn left onto Addison Street, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 232.5 meters, Time: 167.4 seconds
Name: -, Instruction: Turn left, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 386.4 meters, Time: 278.2 seconds
Name: -, Instruction: Turn left, Distance: 271.0 meters, Time: 195.1 seconds
Name: -, Instruction: Turn right, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 215.9 meters, Time: 155.5 seconds
Name: New Lynn - Sandringham Cycleway, Instruction: Continue straight onto New Lynn - Sandringham Cycleway, Distance: 42.3 meters, Time: 30.5 seconds
Name: New Lynn - Sandringham Cycleway, Instruction: Turn sharp right onto New Lynn - Sandringham Cycleway, Distance: 9.5 meters, Time: 6.8 seconds
Name: New Lynn - Sandringham Cycleway, Instruction: Keep left onto New Lynn - Sandringham Cycleway, Distance: 285.7 meters, Time: 205.7 seconds
Name: -, Instruction: Keep left, Distance: 118.4 meters, Time: 85.2 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
