Name: Governors Drive, Instruction: Head north on Governors Drive, Distance: 136.6 meters, Time: 98.3 seconds
Name: -, Instruction: Turn right, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn slight right, Distance: 186.0 meters, Time: 133.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 184.5 meters, Time: 132.8 seconds
Name: Lapstone Zig-Zag Walking Track, Instruction: Turn right onto Lapstone Zig-Zag Walking Track, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 264.6 meters, Time: 190.5 seconds
Name: Knapsack Street, Instruction: Turn right onto Knapsack Street, Distance: 51.0 meters, Time: 36.7 seconds
Name: -, Instruction: Turn right, Distance: 35.1 meters, Time: 25.3 seconds
Name: Great Blue Mountains Trail, Instruction: Continue straight onto Great Blue Mountains Trail, Distance: 86.6 meters, Time: 62.4 seconds
Name: Great Blue Mountains Trail, Instruction: Turn slight right onto Great Blue Mountains Trail, Distance: 25.3 meters, Time: 18.2 seconds
Name: Great Blue Mountains Trail, Instruction: Turn left onto Great Blue Mountains Trail, Distance: 50.3 meters, Time: 36.2 seconds
Name: Hillside Crescent, Instruction: Turn left onto Hillside Crescent, Distance: 64.1 meters, Time: 46.1 seconds
Name: -, Instruction: Arrive at Hillside Crescent, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
