Name: Terrasse de la Hauteur, Instruction: Head southeast on Terrasse de la Hauteur, Distance: 124.3 meters, Time: 89.5 seconds
Name: -, Instruction: Turn left, Distance: 76.6 meters, Time: 55.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 77.3 meters, Time: 55.7 seconds
Name: -, Instruction: Turn left, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 144.2 meters, Time: 103.8 seconds
Name: -, Instruction: Turn left, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Turn right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn slight left, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Keep left, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 62.3 meters, Time: 44.9 seconds
Name: -, Instruction: Turn right, Distance: 56.6 meters, Time: 40.7 seconds
Name: -, Instruction: Turn left, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 206.3 meters, Time: 148.5 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
