Name: Am Eicherhof, Instruction: Head east on Am Eicherhof, Distance: 140.5 meters, Time: 101.2 seconds
Name: Burgauerstraße, Instruction: Turn left onto Burgauerstraße, Distance: 370.5 meters, Time: 266.7 seconds
Name: Schimmelweg, Instruction: Turn left onto Schimmelweg, Distance: 197.9 meters, Time: 142.5 seconds
Name: -, Instruction: Turn slight left, Distance: 102.4 meters, Time: 73.7 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 478.9 meters, Time: 344.8 seconds
Name: -, Instruction: Turn left, Distance: 52.4 meters, Time: 37.7 seconds
Name: -, Instruction: Turn slight right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 417.9 meters, Time: 300.9 seconds
Name: -, Instruction: Turn right, Distance: 317.4 meters, Time: 228.5 seconds
Name: -, Instruction: Turn slight right, Distance: 90.2 meters, Time: 65.0 seconds
Name: Brodersenstraße, Instruction: Turn slight left onto Brodersenstraße, Distance: 203.6 meters, Time: 146.6 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
