Name: Rue Jean de Beauvais, Instruction: Head southwest on Rue Jean de Beauvais, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 76.8 meters, Time: 55.3 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn slight right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 50.0 meters, Time: 36.0 seconds
Name: -, Instruction: Turn slight right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn left, Distance: 32.7 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 141.9 meters, Time: 102.2 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 68.5 meters, Time: 49.3 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 104.4 meters, Time: 75.1 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Keep right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn slight right, Distance: 71.3 meters, Time: 51.4 seconds
Name: -, Instruction: Turn slight right, Distance: 109.9 meters, Time: 79.1 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 169.1 meters, Time: 121.7 seconds
Name: -, Instruction: Turn left, Distance: 132.6 meters, Time: 95.5 seconds
Name: -, Instruction: Turn right, Distance: 176.2 meters, Time: 126.9 seconds
Name: -, Instruction: Turn slight right, Distance: 9.6 meters, Time: 6.9 seconds
Name: Rue de Fleurus, Instruction: Continue straight onto Rue de Fleurus, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Turn left, Distance: 143.3 meters, Time: 103.2 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
