Name: Carrefour de Beauté, Instruction: Head northwest on Carrefour de Beauté, Distance: 55.1 meters, Time: 39.6 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Keep left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Keep right, Distance: 128.0 meters, Time: 92.1 seconds
Name: -, Instruction: Turn left, Distance: 619.3 meters, Time: 445.9 seconds
Name: -, Instruction: Keep right, Distance: 356.8 meters, Time: 256.9 seconds
Name: Route du Camp de Saint-Maur, Instruction: Turn slight right onto Route du Camp de Saint-Maur, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 221.3 meters, Time: 159.3 seconds
Name: Route du Champ de Manœuvre, Instruction: Turn left onto Route du Champ de Manœuvre, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 206.4 meters, Time: 148.6 seconds
Name: -, Instruction: Keep left, Distance: 399.8 meters, Time: 287.9 seconds
Name: -, Instruction: Turn right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Turn left, Distance: 82.6 meters, Time: 59.5 seconds
Name: -, Instruction: Turn right, Distance: 315.7 meters, Time: 227.3 seconds
Name: Allée des Rhododendrons, Instruction: Turn right onto Allée des Rhododendrons, Distance: 115.4 meters, Time: 83.1 seconds
Name: Allée des Rhododendrons, Instruction: Keep left onto Allée des Rhododendrons, Distance: 117.4 meters, Time: 84.5 seconds
Name: Allée des Pins, Instruction: Turn right onto Allée des Pins, Distance: 131.9 meters, Time: 95.0 seconds
Name: -, Instruction: Arrive at Allée des Pins, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
