Name: Leaside Park Drive, Instruction: Head southeast on Leaside Park Drive, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 162.6 meters, Time: 117.0 seconds
Name: -, Instruction: Turn left, Distance: 618.1 meters, Time: 445.0 seconds
Name: -, Instruction: Turn right, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Keep left, Distance: 215.7 meters, Time: 155.3 seconds
Name: -, Instruction: Keep left, Distance: 107.4 meters, Time: 77.4 seconds
Name: -, Instruction: Keep left, Distance: 181.5 meters, Time: 130.7 seconds
Name: -, Instruction: Keep left, Distance: 238.8 meters, Time: 171.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
