Name: Tubeufstraße, Instruction: Head north on Tubeufstraße, Distance: 172.2 meters, Time: 124.0 seconds
Name: Reinhard-von-Frank-Straße, Instruction: Turn left onto Reinhard-von-Frank-Straße, Distance: 125.2 meters, Time: 90.1 seconds
Name: -, Instruction: Turn right, Distance: 141.2 meters, Time: 101.6 seconds
Name: -, Instruction: Turn left, Distance: 227.4 meters, Time: 163.7 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 206.6 meters, Time: 148.8 seconds
Name: -, Instruction: Turn left, Distance: 231.2 meters, Time: 166.5 seconds
Name: -, Instruction: Continue straight, Distance: 125.0 meters, Time: 90.0 seconds
Name: -, Instruction: Turn slight right, Distance: 8.2 meters, Time: 5.9 seconds
Name: Oertelplatz, Instruction: Turn left onto Oertelplatz, Distance: 42.9 meters, Time: 30.9 seconds
Name: Vesaliusstraße, Instruction: Turn left onto Vesaliusstraße, Distance: 219.4 meters, Time: 158.0 seconds
Name: Franz-Nißl-Straße, Instruction: Turn right onto Franz-Nißl-Straße, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn right, Distance: 60.5 meters, Time: 43.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
