Name: Frere Avenue, Instruction: Head west on Frere Avenue, Distance: 26.0 meters, Time: 18.7 seconds
Name: Arcadia Avenue, Instruction: Turn left onto Arcadia Avenue, Distance: 235.9 meters, Time: 169.9 seconds
Name: -, Instruction: Turn right, Distance: 62.3 meters, Time: 44.9 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.3 seconds
Name: Doncaster Road, M24, Instruction: Turn right onto Doncaster Road, M24, Distance: 664.0 meters, Time: 478.1 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Keep left, Distance: 177.7 meters, Time: 127.9 seconds
Name: -, Instruction: Keep right, Distance: 30.0 meters, Time: 21.6 seconds
Name: Doncaster Road, Instruction: Turn left onto Doncaster Road, Distance: 152.0 meters, Time: 109.4 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: Doncaster Road, Instruction: Turn left onto Doncaster Road, Distance: 17.7 meters, Time: 12.7 seconds
Name: Loch Road, Instruction: Turn sharp right onto Loch Road, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 144.3 meters, Time: 103.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 46.1 meters, Time: 33.2 seconds
Name: Moor Street, Instruction: Turn right onto Moor Street, Distance: 54.7 meters, Time: 39.4 seconds
Name: Mckinley Road, Instruction: Turn left onto Mckinley Road, Distance: 394.1 meters, Time: 283.7 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn right, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
