Name: Veterans Hill Trail, Instruction: Head northwest on Veterans Hill Trail, Distance: 14.6 meters, Time: 10.5 seconds
Name: Raab Boulevard, Instruction: Turn slight left onto Raab Boulevard, Distance: 81.0 meters, Time: 58.3 seconds
Name: Raab Boulevard, Instruction: Continue straight onto Raab Boulevard, Distance: 151.4 meters, Time: 109.0 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Keep left, Distance: 109.4 meters, Time: 78.8 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: Wellness Way, Instruction: Turn right onto Wellness Way, Distance: 135.1 meters, Time: 97.2 seconds
Name: -, Instruction: Turn left, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
