Name: Yishun Street 11, Instruction: Head south on Yishun Street 11, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Turn right, Distance: 114.3 meters, Time: 82.3 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 37.3 meters, Time: 26.9 seconds
Name: Yishun Park Connector, Instruction: Turn left onto Yishun Park Connector, Distance: 321.7 meters, Time: 231.6 seconds
Name: -, Instruction: Turn right, Distance: 197.3 meters, Time: 142.1 seconds
Name: Yishun Street 21, Instruction: Turn left onto Yishun Street 21, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 207.5 meters, Time: 149.4 seconds
Name: -, Instruction: Turn left, Distance: 93.7 meters, Time: 67.5 seconds
Name: -, Instruction: Turn right, Distance: 151.1 meters, Time: 108.8 seconds
Name: -, Instruction: Turn right, Distance: 105.1 meters, Time: 75.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
