Name: شارع ابن السراج, Instruction: Head northwest on شارع ابن السراج, Distance: 29.8 meters, Time: 21.5 seconds
Name: شارع 53, Instruction: Turn right onto شارع 53, Distance: 172.0 meters, Time: 123.8 seconds
Name: شارع 53, Instruction: Keep right onto شارع 53, Distance: 47.6 meters, Time: 34.2 seconds
Name: محور 82, Instruction: Turn right onto محور 82, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: محور 82, Instruction: Turn left onto محور 82, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 53.8 meters, Time: 38.7 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Keep right, Distance: 29.7 meters, Time: 21.4 seconds
Name: شارع ابو حامد محمد, Instruction: Turn right onto شارع ابو حامد محمد, Distance: 21.0 meters, Time: 15.2 seconds
Name: شارع ابراهيم سليمان, Instruction: Turn left onto شارع ابراهيم سليمان, Distance: 69.6 meters, Time: 50.1 seconds
Name: شارع ابن السمح, Instruction: Turn right onto شارع ابن السمح, Distance: 150.7 meters, Time: 108.5 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: شارع ابن السمح, Instruction: Turn right onto شارع ابن السمح, Distance: 8.1 meters, Time: 5.8 seconds
Name: شارع الشهيد ابراهيم جمعه, Instruction: Turn left onto شارع الشهيد ابراهيم جمعه, Distance: 120.5 meters, Time: 86.7 seconds
Name: شارع الشهيد ابراهيم جمعه, Instruction: Keep right onto شارع الشهيد ابراهيم جمعه, Distance: 30.0 meters, Time: 21.6 seconds
Name: شارع مصطفى صادق الرفاعى, Instruction: Turn right onto شارع مصطفى صادق الرفاعى, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 84.2 meters, Time: 60.6 seconds
Name: شارع البرامكه, Instruction: Turn left onto شارع البرامكه, Distance: 85.2 meters, Time: 61.4 seconds
Name: شارع الطبرى, Instruction: Turn right onto شارع الطبرى, Distance: 9.0 meters, Time: 6.5 seconds
Name: شارع البرامكه, Instruction: Turn left onto شارع البرامكه, Distance: 17.8 meters, Time: 12.8 seconds
Name: شارع الطبرى, Instruction: Turn right onto شارع الطبرى, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
