Name: Triebgasse, Instruction: Head east on Triebgasse, Distance: 166.1 meters, Time: 119.6 seconds
Name: -, Instruction: Turn left, Distance: 754.7 meters, Time: 543.4 seconds
Name: -, Instruction: Keep right, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn slight left, Distance: 119.5 meters, Time: 86.0 seconds
Name: -, Instruction: Turn right, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn left, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 692.2 meters, Time: 498.4 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 50.9 meters, Time: 36.7 seconds
Name: Breslauer Straße, Instruction: Turn left onto Breslauer Straße, Distance: 3.1 meters, Time: 2.2 seconds
Name: Breslauer Straße, Instruction: Turn right onto Breslauer Straße, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 104.4 meters, Time: 75.2 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 87.1 meters, Time: 62.7 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 78.6 meters, Time: 56.6 seconds
Name: Freimanner Weg, Instruction: Turn left onto Freimanner Weg, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Arrive at Freimanner Weg, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
