Name: Avenue du Président Kennedy, Instruction: Head southwest on Avenue du Président Kennedy, Distance: 36.2 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 341.1 meters, Time: 245.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Turn right, Distance: 177.5 meters, Time: 127.8 seconds
Name: -, Instruction: Turn right, Distance: 55.9 meters, Time: 40.3 seconds
Name: -, Instruction: Turn left, Distance: 109.4 meters, Time: 78.8 seconds
Name: -, Instruction: Turn right, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: Rue de l'Université, Instruction: Continue straight onto Rue de l'Université, Distance: 577.6 meters, Time: 415.9 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 150.7 meters, Time: 108.5 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight left, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 73.7 meters, Time: 53.0 seconds
Name: -, Instruction: Turn slight left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn slight left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
