Name: شارع عبد القادر القط, Instruction: Head southwest on شارع عبد القادر القط, Distance: 12.7 meters, Time: 9.2 seconds
Name: شارع صلاح ذهنى, Instruction: Turn left onto شارع صلاح ذهنى, Distance: 89.4 meters, Time: 64.4 seconds
Name: شارع الشويفات الجانبى, Instruction: Turn right onto شارع الشويفات الجانبى, Distance: 98.4 meters, Time: 70.8 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: شارع الشويفات, Instruction: Turn left onto شارع الشويفات, Distance: 84.3 meters, Time: 60.7 seconds
Name: محور 82, Instruction: Turn sharp right onto محور 82, Distance: 163.3 meters, Time: 117.6 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: محور 82, Instruction: Turn right onto محور 82, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn left, Distance: 82.2 meters, Time: 59.2 seconds
Name: شارع ابو حامد محمد, Instruction: Turn right onto شارع ابو حامد محمد, Distance: 231.1 meters, Time: 166.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 89.2 meters, Time: 64.3 seconds
Name: محور 82, Instruction: Turn slight left onto محور 82, Distance: 123.7 meters, Time: 89.1 seconds
Name: -, Instruction: Keep left, Distance: 121.1 meters, Time: 87.2 seconds
Name: شارع مصطفى صادق الرفاعى, Instruction: Turn sharp right onto شارع مصطفى صادق الرفاعى, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Arrive at شارع مصطفى صادق الرفاعى, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
