Name: Claudiusplatz, Instruction: Head south on Claudiusplatz, Distance: 76.1 meters, Time: 54.8 seconds
Name: Claudiusstraße, Instruction: Continue straight onto Claudiusstraße, Distance: 84.3 meters, Time: 60.7 seconds
Name: Hardenbergstraße, Instruction: Turn left onto Hardenbergstraße, Distance: 96.3 meters, Time: 69.3 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 210.1 meters, Time: 151.3 seconds
Name: -, Instruction: Turn right, Distance: 196.0 meters, Time: 141.1 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 440.4 meters, Time: 317.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Keep right, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 816.0 meters, Time: 587.5 seconds
Name: -, Instruction: Turn right, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
