Name: McNair Road, Instruction: Head southwest on McNair Road, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn slight left, Distance: 199.0 meters, Time: 143.3 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: Towner Road, Instruction: Turn left onto Towner Road, Distance: 46.0 meters, Time: 33.1 seconds
Name: Towner Road, Instruction: Keep right onto Towner Road, Distance: 27.7 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 94.1 meters, Time: 67.7 seconds
Name: -, Instruction: Turn right, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Turn left, Distance: 118.2 meters, Time: 85.1 seconds
Name: -, Instruction: Turn left, Distance: 68.1 meters, Time: 49.0 seconds
Name: -, Instruction: Turn slight right, Distance: 141.6 meters, Time: 101.9 seconds
Name: -, Instruction: Turn right, Distance: 106.1 meters, Time: 76.4 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Continue straight, Distance: 60.2 meters, Time: 43.4 seconds
Name: Foch Road, Instruction: Turn right onto Foch Road, Distance: 120.5 meters, Time: 86.8 seconds
Name: Beatty Lane, Instruction: Turn left onto Beatty Lane, Distance: 73.6 meters, Time: 53.0 seconds
Name: Tyrwhitt Road, Instruction: Turn right onto Tyrwhitt Road, Distance: 66.8 meters, Time: 48.1 seconds
Name: Horne Road, Instruction: Turn left onto Horne Road, Distance: 287.7 meters, Time: 207.1 seconds
Name: -, Instruction: Arrive at Horne Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
