Name: Millhouse Place, Instruction: Head southeast on Millhouse Place, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn right, Distance: 168.7 meters, Time: 121.4 seconds
Name: -, Instruction: Turn right, Distance: 51.3 meters, Time: 37.0 seconds
Name: Edgewater Drive, Instruction: Turn slight right onto Edgewater Drive, Distance: 41.3 meters, Time: 29.7 seconds
Name: Kentridge Place, Instruction: Turn left onto Kentridge Place, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 642.7 meters, Time: 462.7 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 99.9 meters, Time: 71.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 180.0 meters, Time: 129.6 seconds
Name: -, Instruction: Keep left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Continue straight, Distance: 5.7 meters, Time: 4.1 seconds
Name: Fairway Drive, Instruction: Turn right onto Fairway Drive, Distance: 49.7 meters, Time: 35.8 seconds
Name: Central Park Avenue, Instruction: Turn left onto Central Park Avenue, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 99.2 meters, Time: 71.4 seconds
Name: -, Instruction: Turn left, Distance: 173.1 meters, Time: 124.6 seconds
Name: -, Instruction: Turn slight left, Distance: 164.5 meters, Time: 118.4 seconds
Name: -, Instruction: Keep right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn slight right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
