Name: Stella Road, Instruction: Head south on Stella Road, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn left, Distance: 67.3 meters, Time: 48.4 seconds
Name: Honiton Road, Instruction: Turn left onto Honiton Road, Distance: 281.7 meters, Time: 202.8 seconds
Name: Tiverton Road, Instruction: Turn right onto Tiverton Road, Distance: 314.8 meters, Time: 226.7 seconds
Name: -, Instruction: Turn slight left, Distance: 69.1 meters, Time: 49.7 seconds
Name: Exeter Road, Instruction: Turn left onto Exeter Road, Distance: 271.9 meters, Time: 195.8 seconds
Name: -, Instruction: Turn right, Distance: 93.3 meters, Time: 67.2 seconds
Name: Culm Road, Instruction: Turn left onto Culm Road, Distance: 16.7 meters, Time: 12.0 seconds
Name: Southfield Road, Instruction: Turn right onto Southfield Road, Distance: 129.0 meters, Time: 92.9 seconds
Name: -, Instruction: Turn left, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
