Name: Gunyah Drive, Instruction: Head north on Gunyah Drive, Distance: 7.6 meters, Time: 5.5 seconds
Name: Bradley Street, Instruction: Turn right onto Bradley Street, Distance: 52.2 meters, Time: 37.6 seconds
Name: Riverflat Drive, Instruction: Turn right onto Riverflat Drive, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight left, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 184.3 meters, Time: 132.7 seconds
Name: -, Instruction: Keep left, Distance: 175.9 meters, Time: 126.7 seconds
Name: -, Instruction: Turn left, Distance: 234.8 meters, Time: 169.0 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: Bangalla Parade, Instruction: Turn sharp right onto Bangalla Parade, Distance: 224.5 meters, Time: 161.6 seconds
Name: Grandeur Crescent, Instruction: Turn right onto Grandeur Crescent, Distance: 109.5 meters, Time: 78.8 seconds
Name: Harold Bentleys Way, Instruction: Turn right onto Harold Bentleys Way, Distance: 135.6 meters, Time: 97.6 seconds
Name: -, Instruction: Arrive at Harold Bentleys Way, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
