Name: Aichacher Straße, Instruction: Head south on Aichacher Straße, Distance: 235.6 meters, Time: 169.6 seconds
Name: Höglwörther Straße, Instruction: Turn right onto Höglwörther Straße, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: Höglwörther Straße, Instruction: Turn right onto Höglwörther Straße, Distance: 34.5 meters, Time: 24.8 seconds
Name: Surheimer Weg, Instruction: Turn left onto Surheimer Weg, Distance: 196.4 meters, Time: 141.4 seconds
Name: -, Instruction: Turn right, Distance: 147.0 meters, Time: 105.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Keep right, Distance: 70.1 meters, Time: 50.4 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Keep right, Distance: 48.8 meters, Time: 35.2 seconds
Name: Halskestraße, Instruction: Turn right onto Halskestraße, Distance: 92.4 meters, Time: 66.5 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
