Name: Rue Damesme, Instruction: Head south on Rue Damesme, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 74.9 meters, Time: 53.9 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: Rue du Tage, Instruction: Turn left onto Rue du Tage, Distance: 444.1 meters, Time: 319.7 seconds
Name: -, Instruction: Turn right, Distance: 55.5 meters, Time: 40.0 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 299.1 meters, Time: 215.3 seconds
Name: -, Instruction: Turn left, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Turn right, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
