Name: Durie Street, Instruction: Head north on Durie Street, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Turn right, Distance: 144.6 meters, Time: 104.1 seconds
Name: -, Instruction: Turn left, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 102.3 meters, Time: 73.6 seconds
Name: Kennedy Avenue, Instruction: Turn left onto Kennedy Avenue, Distance: 484.7 meters, Time: 349.0 seconds
Name: Kennedy Avenue, Instruction: Turn left onto Kennedy Avenue, Distance: 50.0 meters, Time: 36.0 seconds
Name: Evelyn Crescent, Instruction: Turn right onto Evelyn Crescent, Distance: 229.6 meters, Time: 165.3 seconds
Name: Fairview Avenue, Instruction: Turn left onto Fairview Avenue, Distance: 111.0 meters, Time: 79.9 seconds
Name: Woodside Avenue, Instruction: Turn left onto Woodside Avenue, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
