Name: Moore Street, Instruction: Head east on Moore Street, Distance: 572.0 meters, Time: 411.9 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 161.2 meters, Time: 116.1 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight left, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn slight left, Distance: 40.7 meters, Time: 29.3 seconds
Name: -, Instruction: Keep left, Distance: 79.1 meters, Time: 57.0 seconds
Name: -, Instruction: Turn right, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn right, Distance: 67.3 meters, Time: 48.4 seconds
Name: -, Instruction: Continue straight, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.3 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 251.9 meters, Time: 181.4 seconds
Name: -, Instruction: Turn right, Distance: 55.3 meters, Time: 39.8 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: Campbell Street, Instruction: Turn right onto Campbell Street, Distance: 293.6 meters, Time: 211.4 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
