Name: Privada Volcán Iztaccíhuatl, Instruction: Head south on Privada Volcán Iztaccíhuatl, Distance: 81.9 meters, Time: 59.0 seconds
Name: Privada Volcán Popocatépetl, Instruction: Turn left onto Privada Volcán Popocatépetl, Distance: 112.6 meters, Time: 81.1 seconds
Name: Calle del Pino, Instruction: Turn left onto Calle del Pino, Distance: 199.2 meters, Time: 143.4 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Keep left, Distance: 224.2 meters, Time: 161.4 seconds
Name: -, Instruction: Turn right, Distance: 110.9 meters, Time: 79.9 seconds
Name: Calle Cerezo, Instruction: Turn right onto Calle Cerezo, Distance: 183.7 meters, Time: 132.3 seconds
Name: -, Instruction: Turn left, Distance: 390.9 meters, Time: 281.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 90.6 meters, Time: 65.3 seconds
Name: -, Instruction: Turn left, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
