Name: Grange Road, Instruction: Head west on Grange Road, Distance: 30.1 meters, Time: 21.6 seconds
Name: Ashton Road, Instruction: Turn right onto Ashton Road, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 746.6 meters, Time: 537.5 seconds
Name: -, Instruction: Turn right, Distance: 41.0 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 82.8 meters, Time: 59.6 seconds
Name: Burnley Terrace, Instruction: Turn left onto Burnley Terrace, Distance: 829.4 meters, Time: 597.1 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 233.6 meters, Time: 168.2 seconds
Name: Collins Street, Instruction: Turn right onto Collins Street, Distance: 63.4 meters, Time: 45.6 seconds
Name: -, Instruction: Arrive at Collins Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
