Name: Yio Chu Kang Road, Instruction: Head south on Yio Chu Kang Road, Distance: 26.4 meters, Time: 19.0 seconds
Name: Buangkok Park Connector, Instruction: Turn left onto Buangkok Park Connector, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 397.6 meters, Time: 286.3 seconds
Name: -, Instruction: Turn slight left, Distance: 150.0 meters, Time: 108.0 seconds
Name: -, Instruction: Continue straight, Distance: 122.6 meters, Time: 88.3 seconds
Name: -, Instruction: Keep right, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn right, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 164.6 meters, Time: 118.5 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn slight right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 703.9 meters, Time: 506.8 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.1 seconds
Name: -, Instruction: Turn slight right, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 204.3 meters, Time: 147.1 seconds
Name: -, Instruction: Turn right, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
