Name: Niagara Street, Instruction: Head north on Niagara Street, Distance: 55.9 meters, Time: 40.2 seconds
Name: East 72nd Avenue, Instruction: Turn left onto East 72nd Avenue, Distance: 84.5 meters, Time: 60.8 seconds
Name: Magnolia Street, Instruction: Turn right onto Magnolia Street, Distance: 117.0 meters, Time: 84.3 seconds
Name: East 72nd Place, Instruction: Turn left onto East 72nd Place, Distance: 225.5 meters, Time: 162.3 seconds
Name: Locust Street, Instruction: Turn left onto Locust Street, Distance: 59.8 meters, Time: 43.0 seconds
Name: -, Instruction: Turn right, Distance: 115.3 meters, Time: 83.0 seconds
Name: Old State Highway 2, Instruction: Turn left onto Old State Highway 2, Distance: 80.8 meters, Time: 58.1 seconds
Name: East 72nd Avenue, Instruction: Turn right onto East 72nd Avenue, Distance: 14.3 meters, Time: 10.3 seconds
Name: East 72nd Avenue, Instruction: Keep right onto East 72nd Avenue, Distance: 91.5 meters, Time: 65.9 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 42.0 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 14.7 meters, Time: 10.6 seconds
Name: East 72nd Avenue, Instruction: Turn right onto East 72nd Avenue, Distance: 72.4 meters, Time: 52.2 seconds
Name: -, Instruction: Arrive at East 72nd Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
