Name: Nellie Stewart Drive, Instruction: Head east on Nellie Stewart Drive, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 406.4 meters, Time: 292.6 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 401.6 meters, Time: 289.2 seconds
Name: Crawford Road, Instruction: Turn left onto Crawford Road, Distance: 407.2 meters, Time: 293.2 seconds
Name: Coveny Street, Instruction: Enter the roundabout and take the 1st exit onto Coveny Street, Distance: 136.7 meters, Time: 98.4 seconds
Name: -, Instruction: Turn left, Distance: 409.4 meters, Time: 294.7 seconds
Name: -, Instruction: Turn right, Distance: 113.2 meters, Time: 81.5 seconds
Name: -, Instruction: Turn right, Distance: 138.4 meters, Time: 99.6 seconds
Name: -, Instruction: Turn right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
