Name: 11th Avenue, Instruction: Head southwest on 11th Avenue, Distance: 127.7 meters, Time: 91.9 seconds
Name: -, Instruction: Turn left, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Turn right, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: 12th Avenue, Instruction: Turn right onto 12th Avenue, Distance: 98.1 meters, Time: 70.6 seconds
Name: -, Instruction: Turn left, Distance: 75.8 meters, Time: 54.6 seconds
Name: Boater Close, Instruction: Turn right onto Boater Close, Distance: 119.4 meters, Time: 86.0 seconds
Name: -, Instruction: Turn right, Distance: 189.9 meters, Time: 136.7 seconds
Name: 12th Avenue, Instruction: Turn slight left onto 12th Avenue, Distance: 157.1 meters, Time: 113.1 seconds
Name: Homberg Street, Instruction: Turn left onto Homberg Street, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 159.5 meters, Time: 114.8 seconds
Name: -, Instruction: Turn slight right, Distance: 14.0 meters, Time: 10.1 seconds
Name: Bowler Street, Instruction: Continue straight onto Bowler Street, Distance: 71.8 meters, Time: 51.7 seconds
Name: -, Instruction: Arrive at Bowler Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
