Name: Yorkdale Road, Instruction: Head east on Yorkdale Road, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 96.9 meters, Time: 69.8 seconds
Name: -, Instruction: Turn right, Distance: 175.3 meters, Time: 126.2 seconds
Name: -, Instruction: Turn left, Distance: 78.9 meters, Time: 56.8 seconds
Name: -, Instruction: Turn right, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 96.6 meters, Time: 69.6 seconds
Name: -, Instruction: Keep right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 108.1 meters, Time: 77.9 seconds
Name: -, Instruction: Turn slight left, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Keep right, Distance: 313.4 meters, Time: 225.6 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn right, Distance: 213.5 meters, Time: 153.7 seconds
Name: -, Instruction: Turn left, Distance: 111.0 meters, Time: 79.9 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: Wilson Avenue, Instruction: Turn left onto Wilson Avenue, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 181.3 meters, Time: 130.5 seconds
Name: -, Instruction: Turn right, Distance: 383.9 meters, Time: 276.4 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Maniza Road, Instruction: Turn right onto Maniza Road, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at Maniza Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
