Name: Rue d'Ormesson, Instruction: Head southeast on Rue d'Ormesson, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 157.7 meters, Time: 113.6 seconds
Name: -, Instruction: Turn slight right, Distance: 142.4 meters, Time: 102.5 seconds
Name: -, Instruction: Turn slight left, Distance: 44.8 meters, Time: 32.2 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: Rue de la Bastille, Instruction: Turn right onto Rue de la Bastille, Distance: 22.6 meters, Time: 16.3 seconds
Name: Place de la Bastille, Instruction: Turn slight left onto Place de la Bastille, Distance: 151.8 meters, Time: 109.3 seconds
Name: -, Instruction: Turn right, Distance: 296.3 meters, Time: 213.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
