Name: Dorothy Street, Instruction: Head south on Dorothy Street, Distance: 252.3 meters, Time: 181.6 seconds
Name: -, Instruction: Turn left, Distance: 227.7 meters, Time: 164.0 seconds
Name: Warra Street, Instruction: Turn right onto Warra Street, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 85.9 meters, Time: 61.8 seconds
Name: Strickland Place, Instruction: Turn right onto Strickland Place, Distance: 141.1 meters, Time: 101.6 seconds
Name: -, Instruction: Turn right, Distance: 96.4 meters, Time: 69.4 seconds
Name: Bourne Street, Instruction: Turn slight right onto Bourne Street, Distance: 139.6 meters, Time: 100.5 seconds
Name: -, Instruction: Turn left, Distance: 99.4 meters, Time: 71.6 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn left, Distance: 216.8 meters, Time: 156.1 seconds
Name: -, Instruction: Turn right, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
