Name: Caminho da Boa Vista, Instruction: Head south on Caminho da Boa Vista, Distance: 244.2 meters, Time: 175.8 seconds
Name: Avenida Presidente João Goulart, Instruction: Turn right onto Avenida Presidente João Goulart, Distance: 77.1 meters, Time: 55.5 seconds
Name: Avenida Presidente João Goulart, Instruction: Turn left onto Avenida Presidente João Goulart, Distance: 104.8 meters, Time: 75.5 seconds
Name: Estrada do Vidigal, Instruction: Turn left onto Estrada do Vidigal, Distance: 598.2 meters, Time: 430.7 seconds
Name: -, Instruction: Turn right, Distance: 55.0 meters, Time: 39.6 seconds
Name: -, Instruction: Turn left, Distance: 68.1 meters, Time: 49.1 seconds
Name: Ciclovia Tim Maia, Instruction: Turn right onto Ciclovia Tim Maia, Distance: 750.7 meters, Time: 540.5 seconds
Name: -, Instruction: Turn left, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn right, Distance: 139.4 meters, Time: 100.4 seconds
Name: Rua Aristides Espínola, Instruction: Turn right onto Rua Aristides Espínola, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Arrive at Rua Aristides Espínola, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
