Name: Barton Avenue, Instruction: Head west on Barton Avenue, Distance: 497.6 meters, Time: 358.2 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 206.4 meters, Time: 148.6 seconds
Name: -, Instruction: Turn left, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn slight right, Distance: 136.9 meters, Time: 98.6 seconds
Name: -, Instruction: Keep left, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Turn right, Distance: 429.6 meters, Time: 309.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
