Name: Romanplatz, Instruction: Head south on Romanplatz, Distance: 12.5 meters, Time: 9.0 seconds
Name: Romanstraße, Instruction: Turn right onto Romanstraße, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 115.1 meters, Time: 82.9 seconds
Name: -, Instruction: Turn slight right, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Keep right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn slight right, Distance: 447.0 meters, Time: 321.8 seconds
Name: -, Instruction: Keep right, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Turn left, Distance: 308.1 meters, Time: 221.8 seconds
Name: -, Instruction: Turn slight right, Distance: 526.4 meters, Time: 379.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
