Name: Rue Jules Guesde, Instruction: Head southeast on Rue Jules Guesde, Distance: 851.3 meters, Time: 612.9 seconds
Name: -, Instruction: Turn right, Distance: 83.5 meters, Time: 60.2 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn left, Distance: 67.7 meters, Time: 48.7 seconds
Name: -, Instruction: Turn left, Distance: 165.0 meters, Time: 118.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 68.7 meters, Time: 49.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn slight left, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Turn slight right, Distance: 99.2 meters, Time: 71.4 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
