Name: St George Street, Instruction: Head south on St George Street, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 131.4 meters, Time: 94.6 seconds
Name: -, Instruction: Turn left, Distance: 106.5 meters, Time: 76.7 seconds
Name: -, Instruction: Turn slight left, Distance: 3.7 meters, Time: 2.6 seconds
Name: King's College Circle, Instruction: Turn right onto King's College Circle, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 66.6 meters, Time: 48.0 seconds
Name: King's College Circle, Instruction: Turn left onto King's College Circle, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Keep right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Keep right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 158.8 meters, Time: 114.3 seconds
Name: -, Instruction: Turn right, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Keep right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Keep left, Distance: 680.7 meters, Time: 490.1 seconds
Name: -, Instruction: Turn left, Distance: 124.0 meters, Time: 89.3 seconds
Name: Centre Avenue, Instruction: Turn right onto Centre Avenue, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 84.0 meters, Time: 60.5 seconds
Name: -, Instruction: Keep right, Distance: 151.7 meters, Time: 109.3 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Keep right, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn slight right, Distance: 72.2 meters, Time: 52.0 seconds
Name: -, Instruction: Turn left, Distance: 72.3 meters, Time: 52.1 seconds
Name: -, Instruction: Keep right, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn right, Distance: 95.8 meters, Time: 69.0 seconds
Name: -, Instruction: Keep right, Distance: 37.3 meters, Time: 26.9 seconds
Name: -, Instruction: Turn slight left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 126.6 meters, Time: 91.2 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 39.5 meters, Time: 28.5 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Turn slight left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
