Name: Balmoral Avenue, Instruction: Head west on Balmoral Avenue, Distance: 5.1 meters, Time: 3.7 seconds
Name: Warren Road, Instruction: Turn left onto Warren Road, Distance: 111.7 meters, Time: 80.4 seconds
Name: Clarendon Avenue, Instruction: Turn right onto Clarendon Avenue, Distance: 127.6 meters, Time: 91.8 seconds
Name: Russell Hill Road, Instruction: Turn left onto Russell Hill Road, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 98.2 meters, Time: 70.7 seconds
Name: -, Instruction: Turn slight left, Distance: 214.6 meters, Time: 154.5 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 232.2 meters, Time: 167.2 seconds
Name: -, Instruction: Keep right, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Keep right, Distance: 201.3 meters, Time: 144.9 seconds
Name: -, Instruction: Keep left, Distance: 37.8 meters, Time: 27.2 seconds
Name: Baldwin Steps, Instruction: Turn left onto Baldwin Steps, Distance: 138.7 meters, Time: 99.9 seconds
Name: -, Instruction: Keep left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 83.2 meters, Time: 59.9 seconds
Name: -, Instruction: Turn left, Distance: 27.6 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Walmer Road, Instruction: Turn left onto Walmer Road, Distance: 139.0 meters, Time: 100.1 seconds
Name: MacPherson Avenue, Instruction: Turn left onto MacPherson Avenue, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Arrive at MacPherson Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
