Name: Bukit Batok Road, Instruction: Head northeast on Bukit Batok Road, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Turn right, Distance: 691.8 meters, Time: 498.1 seconds
Name: -, Instruction: Turn right, Distance: 54.3 meters, Time: 39.1 seconds
Name: -, Instruction: Turn right, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn right, Distance: 486.9 meters, Time: 350.6 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Tengah Garden Walk, Instruction: Turn left onto Tengah Garden Walk, Distance: 67.8 meters, Time: 48.8 seconds
Name: Tengah Garden Walk, Instruction: Continue straight onto Tengah Garden Walk, Distance: 52.5 meters, Time: 37.8 seconds
Name: Plantation Crescent, Instruction: Turn right onto Plantation Crescent, Distance: 9.3 meters, Time: 6.7 seconds
Name: Tengah Garden Walk, Instruction: Turn left onto Tengah Garden Walk, Distance: 317.0 meters, Time: 228.2 seconds
Name: Tengah Garden Avenue, Instruction: Turn right onto Tengah Garden Avenue, Distance: 24.4 meters, Time: 17.5 seconds
Name: -, Instruction: Arrive at Tengah Garden Avenue, on the left, Distance: 0.0 meters, Time: 0.0 seconds
