Name: Chemin du Dragon, Instruction: Head northwest on Chemin du Dragon, Distance: 21.9 meters, Time: 15.7 seconds
Name: -, Instruction: Turn right, Distance: 31.6 meters, Time: 22.8 seconds
Name: Chemin Saint-Louis, Instruction: Turn left onto Chemin Saint-Louis, Distance: 16.1 meters, Time: 11.6 seconds
Name: Chemin Monvoisin, Instruction: Turn left onto Chemin Monvoisin, Distance: 3.7 meters, Time: 2.7 seconds
Name: Chemin Molière et de la Fontaine, Instruction: Turn right onto Chemin Molière et de la Fontaine, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 15.7 meters, Time: 11.3 seconds
Name: Avenue Transversale n°1, Instruction: Turn right onto Avenue Transversale n°1, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 279.7 meters, Time: 201.4 seconds
Name: Avenue Circulaire, Instruction: Turn right onto Avenue Circulaire, Distance: 128.5 meters, Time: 92.5 seconds
Name: -, Instruction: Keep left, Distance: 125.1 meters, Time: 90.1 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 123.2 meters, Time: 88.7 seconds
Name: -, Instruction: Turn left, Distance: 170.1 meters, Time: 122.5 seconds
Name: Rue Stendhal, Instruction: Keep right onto Rue Stendhal, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Keep right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
