Name: Upper Coventry Road, Instruction: Head south on Upper Coventry Road, Distance: 43.7 meters, Time: 31.5 seconds
Name: Lever Street, Instruction: Turn right onto Lever Street, Distance: 185.4 meters, Time: 133.5 seconds
Name: Ravenscraig Road, Instruction: Turn left onto Ravenscraig Road, Distance: 116.4 meters, Time: 83.8 seconds
Name: Chester Road, Instruction: Turn right onto Chester Road, Distance: 185.0 meters, Time: 133.2 seconds
Name: Chester Road, Instruction: Keep left onto Chester Road, Distance: 16.2 meters, Time: 11.7 seconds
Name: Hanover Street, Instruction: Continue straight onto Hanover Street, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 216.5 meters, Time: 155.8 seconds
Name: Christiaan Street, Instruction: Turn slight left onto Christiaan Street, Distance: 31.2 meters, Time: 22.4 seconds
Name: Constitution Street, Instruction: Turn slight right onto Constitution Street, Distance: 298.6 meters, Time: 215.0 seconds
Name: -, Instruction: Turn right, Distance: 184.6 meters, Time: 132.9 seconds
Name: -, Instruction: Turn left, Distance: 56.9 meters, Time: 41.0 seconds
Name: -, Instruction: Turn right, Distance: 250.8 meters, Time: 180.6 seconds
Name: -, Instruction: Keep right, Distance: 207.0 meters, Time: 149.0 seconds
Name: -, Instruction: Keep left, Distance: 103.1 meters, Time: 74.2 seconds
Name: Constitution Street, Instruction: Turn slight right onto Constitution Street, Distance: 46.7 meters, Time: 33.6 seconds
Name: Constitution Street, Instruction: Keep left onto Constitution Street, Distance: 241.9 meters, Time: 174.1 seconds
Name: Canterbury Street, Instruction: Turn left onto Canterbury Street, Distance: 45.2 meters, Time: 32.5 seconds
Name: Barrack Street, Instruction: Turn right onto Barrack Street, Distance: 68.8 meters, Time: 49.5 seconds
Name: Harrington Street, Instruction: Turn left onto Harrington Street, Distance: 182.7 meters, Time: 131.5 seconds
Name: Roeland Street, Instruction: Turn left onto Roeland Street, Distance: 40.1 meters, Time: 28.9 seconds
Name: -, Instruction: Arrive at Roeland Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
