Name: Parker's Row, Instruction: Head south on Parker's Row, Distance: 42.1 meters, Time: 30.3 seconds
Name: Dockhead, Instruction: Turn right onto Dockhead, Distance: 83.0 meters, Time: 59.8 seconds
Name: Dockhead, Instruction: Turn left onto Dockhead, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Continue straight, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 33.3 meters, Time: 23.9 seconds
Name: Sweeney Crescent, Instruction: Turn left onto Sweeney Crescent, Distance: 108.9 meters, Time: 78.4 seconds
Name: Druid Street, Instruction: Turn right onto Druid Street, Distance: 52.1 meters, Time: 37.5 seconds
Name: Millstream Road, Instruction: Turn left onto Millstream Road, Distance: 124.3 meters, Time: 89.5 seconds
Name: Maltby Street, Instruction: Turn left onto Maltby Street, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 150.7 meters, Time: 108.5 seconds
Name: -, Instruction: Turn slight right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 60.2 meters, Time: 43.3 seconds
Name: Riley Road, Instruction: Turn left onto Riley Road, Distance: 28.6 meters, Time: 20.6 seconds
Name: -, Instruction: Turn right, Distance: 99.6 meters, Time: 71.7 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 169.6 meters, Time: 122.1 seconds
Name: -, Instruction: Keep left, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 84.9 meters, Time: 61.2 seconds
Name: Rothsay Street, Instruction: Turn right onto Rothsay Street, Distance: 46.4 meters, Time: 33.4 seconds
Name: Alice Street, Instruction: Turn left onto Alice Street, Distance: 107.7 meters, Time: 77.5 seconds
Name: Green Walk, Instruction: Turn sharp right onto Green Walk, Distance: 35.7 meters, Time: 25.7 seconds
Name: Prioress Street, Instruction: Turn sharp left onto Prioress Street, Distance: 115.0 meters, Time: 82.8 seconds
Name: Hunter Close, Instruction: Turn left onto Hunter Close, Distance: 4.3 meters, Time: 3.1 seconds
Name: Hunter Close, Instruction: Keep right onto Hunter Close, Distance: 12.4 meters, Time: 9.0 seconds
Name: Tabard Street, Instruction: Turn slight right onto Tabard Street, Distance: 30.1 meters, Time: 21.6 seconds
Name: -, Instruction: Turn left, Distance: 26.2 meters, Time: 18.9 seconds
Name: Great Dover Street, A2, Instruction: Turn right onto Great Dover Street, A2, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 72.8 meters, Time: 52.4 seconds
Name: Burge Street, Instruction: Turn right onto Burge Street, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Arrive at Burge Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
