Name: Merchants Way, Instruction: Head southeast on Merchants Way, Distance: 12.7 meters, Time: 9.1 seconds
Name: Bramley Crescent, Instruction: Turn right onto Bramley Crescent, Distance: 127.6 meters, Time: 91.9 seconds
Name: -, Instruction: Turn right, Distance: 48.2 meters, Time: 34.7 seconds
Name: Hemans Street, Instruction: Turn right onto Hemans Street, Distance: 77.8 meters, Time: 56.0 seconds
Name: Fount Street, Instruction: Turn left onto Fount Street, Distance: 69.1 meters, Time: 49.8 seconds
Name: Thorparch Road, Instruction: Turn right onto Thorparch Road, Distance: 356.6 meters, Time: 256.8 seconds
Name: Thorparch Road, Instruction: Turn slight left onto Thorparch Road, Distance: 49.4 meters, Time: 35.6 seconds
Name: Brooklands Passage, Instruction: Turn slight right onto Brooklands Passage, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn right, Distance: 187.3 meters, Time: 134.8 seconds
Name: Thessaly Road, Instruction: Turn right onto Thessaly Road, Distance: 3.7 meters, Time: 2.7 seconds
Name: Carey Gardens, Instruction: Turn left onto Carey Gardens, Distance: 35.4 meters, Time: 25.5 seconds
Name: Carey Gardens, Instruction: Turn left onto Carey Gardens, Distance: 59.1 meters, Time: 42.5 seconds
Name: -, Instruction: Turn right, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn left, Distance: 97.3 meters, Time: 70.0 seconds
Name: Carey Gardens, Instruction: Turn right onto Carey Gardens, Distance: 27.5 meters, Time: 19.8 seconds
Name: Stewarts Road, Instruction: Turn left onto Stewarts Road, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Turn right, Distance: 63.3 meters, Time: 45.6 seconds
Name: Clyston Street, Instruction: Turn left onto Clyston Street, Distance: 84.6 meters, Time: 60.9 seconds
Name: Wandsworth Road, A3036, Instruction: Turn right onto Wandsworth Road, A3036, Distance: 170.5 meters, Time: 122.7 seconds
Name: Killyon Road, Instruction: Turn left onto Killyon Road, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 166.4 meters, Time: 119.8 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: Wandsworth Road, A3036, Instruction: Turn left onto Wandsworth Road, A3036, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
