Name: Pukerangi Crescent, Instruction: Head southeast on Pukerangi Crescent, Distance: 220.1 meters, Time: 158.5 seconds
Name: Amy Street, Instruction: Turn sharp left onto Amy Street, Distance: 259.1 meters, Time: 186.5 seconds
Name: -, Instruction: Turn slight left, Distance: 123.0 meters, Time: 88.6 seconds
Name: -, Instruction: Turn slight left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 168.5 meters, Time: 121.3 seconds
Name: -, Instruction: Turn left, Distance: 104.2 meters, Time: 75.0 seconds
Name: Michaels Avenue, Instruction: Turn right onto Michaels Avenue, Distance: 106.6 meters, Time: 76.7 seconds
Name: Whites Way, Instruction: Turn left onto Whites Way, Distance: 144.9 meters, Time: 104.3 seconds
Name: Whites Way, Instruction: Turn slight left onto Whites Way, Distance: 207.5 meters, Time: 149.4 seconds
Name: Marua Road, Instruction: Turn right onto Marua Road, Distance: 155.3 meters, Time: 111.8 seconds
Name: -, Instruction: Arrive at Marua Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
