Name: Gleichmannstraße, Instruction: Head northwest on Gleichmannstraße, Distance: 2.5 meters, Time: 1.8 seconds
Name: Landsberger Straße, Instruction: Turn left onto Landsberger Straße, Distance: 4.9 meters, Time: 3.5 seconds
Name: Pasinger Marienplatz, Instruction: Continue straight onto Pasinger Marienplatz, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Continue straight, Distance: 392.3 meters, Time: 282.4 seconds
Name: -, Instruction: Turn left, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 78.8 meters, Time: 56.8 seconds
Name: Varnhagenstraße, Instruction: Turn right onto Varnhagenstraße, Distance: 117.0 meters, Time: 84.2 seconds
Name: Scapinellistraße, Instruction: Turn left onto Scapinellistraße, Distance: 445.2 meters, Time: 320.5 seconds
Name: Haberlandstraße, Instruction: Turn left onto Haberlandstraße, Distance: 22.4 meters, Time: 16.2 seconds
Name: -, Instruction: Keep right, Distance: 11.6 meters, Time: 8.3 seconds
Name: Aubinger Straße, Instruction: Turn right onto Aubinger Straße, Distance: 221.5 meters, Time: 159.5 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.8 seconds
Name: Friedrichshafener Straße, Instruction: Turn left onto Friedrichshafener Straße, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Arrive at Friedrichshafener Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
