Name: Titoki Street, Instruction: Head southeast on Titoki Street, Distance: 146.9 meters, Time: 105.8 seconds
Name: Te Atatū Shared Path, Instruction: Turn right onto Te Atatū Shared Path, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 69.0 meters, Time: 49.7 seconds
Name: Te Atatū Shared Path, Instruction: Turn slight right onto Te Atatū Shared Path, Distance: 110.7 meters, Time: 79.7 seconds
Name: Te Atatū Shared Path, Instruction: Turn left onto Te Atatū Shared Path, Distance: 223.8 meters, Time: 161.2 seconds
Name: Te Atatū Shared Path, Instruction: Turn sharp right onto Te Atatū Shared Path, Distance: 54.1 meters, Time: 38.9 seconds
Name: Northwestern Path, Instruction: Turn slight right onto Northwestern Path, Distance: 210.0 meters, Time: 151.2 seconds
Name: -, Instruction: Turn left, Distance: 60.2 meters, Time: 43.4 seconds
Name: -, Instruction: Turn left, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.8 seconds
Name: McCormick Road, Instruction: Turn left onto McCormick Road, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 246.5 meters, Time: 177.5 seconds
Name: -, Instruction: Keep left, Distance: 348.6 meters, Time: 251.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
