Name: Hertford Road, Instruction: Head south on Hertford Road, Distance: 159.4 meters, Time: 114.8 seconds
Name: Englefield Road, Instruction: Turn left onto Englefield Road, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Turn right, Distance: 167.8 meters, Time: 120.8 seconds
Name: St Peter's Way, Instruction: Turn left onto St Peter's Way, Distance: 56.3 meters, Time: 40.5 seconds
Name: Haggerston Road, Instruction: Turn right onto Haggerston Road, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 136.6 meters, Time: 98.3 seconds
Name: Mayfield Road, Instruction: Turn right onto Mayfield Road, Distance: 47.9 meters, Time: 34.5 seconds
Name: Haggerston Road, Instruction: Turn left onto Haggerston Road, Distance: 248.4 meters, Time: 178.9 seconds
Name: Haggerston Road, Instruction: Turn right onto Haggerston Road, Distance: 116.3 meters, Time: 83.8 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 92.5 meters, Time: 66.6 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn slight right, Distance: 50.9 meters, Time: 36.6 seconds
Name: Denne Terrace, Instruction: Turn left onto Denne Terrace, Distance: 579.6 meters, Time: 417.3 seconds
Name: -, Instruction: Arrive at Denne Terrace, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
