Name: Grosvenor Lane, Instruction: Head west on Grosvenor Lane, Distance: 80.1 meters, Time: 57.6 seconds
Name: Newland Street, Instruction: Turn left onto Newland Street, Distance: 2.8 meters, Time: 2.0 seconds
Name: Rowe Lane, Instruction: Turn right onto Rowe Lane, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 412.0 meters, Time: 296.7 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 232.9 meters, Time: 167.7 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 53.5 meters, Time: 38.5 seconds
Name: -, Instruction: Turn left, Distance: 373.0 meters, Time: 268.6 seconds
Name: -, Instruction: Turn slight right, Distance: 315.9 meters, Time: 227.4 seconds
Name: -, Instruction: Turn left, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn slight right, Distance: 9.3 meters, Time: 6.7 seconds
Name: Oxford Street, Instruction: Turn left onto Oxford Street, Distance: 122.0 meters, Time: 87.8 seconds
Name: -, Instruction: Turn left, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 259.0 meters, Time: 186.4 seconds
Name: Newcombe Street, Instruction: Turn left onto Newcombe Street, Distance: 32.0 meters, Time: 23.1 seconds
Name: -, Instruction: Arrive at Newcombe Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
