Name: Kempton Walk, Instruction: Head east on Kempton Walk, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 103.2 meters, Time: 74.3 seconds
Name: Greenview Avenue, Instruction: Turn left onto Greenview Avenue, Distance: 54.9 meters, Time: 39.5 seconds
Name: Ash Tree Way, Instruction: Turn right onto Ash Tree Way, Distance: 334.6 meters, Time: 240.9 seconds
Name: Stoneleigh Park Avenue, Instruction: Turn left onto Stoneleigh Park Avenue, Distance: 438.8 meters, Time: 315.9 seconds
Name: Bywood Avenue, Instruction: Turn right onto Bywood Avenue, Distance: 172.8 meters, Time: 124.4 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 186.5 meters, Time: 134.3 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 281.3 meters, Time: 202.5 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
