Name: Rosebery Avenue, Instruction: Head west on Rosebery Avenue, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 87.9 meters, Time: 63.3 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 679.8 meters, Time: 489.4 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Keep left, Distance: 182.6 meters, Time: 131.5 seconds
Name: -, Instruction: Keep right, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Turn slight right, Distance: 3.7 meters, Time: 2.7 seconds
Name: Whitta Road, Instruction: Turn left onto Whitta Road, Distance: 372.9 meters, Time: 268.5 seconds
Name: -, Instruction: Turn right, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
