Name: Avenue du Bas-Meudon, Instruction: Head east on Avenue du Bas-Meudon, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.5 seconds
Name: -, Instruction: Keep right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 209.3 meters, Time: 150.7 seconds
Name: Rue Yves Kermen, Instruction: Enter the roundabout and take the 2nd exit onto Rue Yves Kermen, Distance: 488.9 meters, Time: 352.0 seconds
Name: Place Jules Guesde, Instruction: Turn left onto Place Jules Guesde, Distance: 31.0 meters, Time: 22.3 seconds
Name: Place Jules Guesde, Instruction: Turn right onto Place Jules Guesde, Distance: 39.5 meters, Time: 28.4 seconds
Name: Rue Yves Kermen, Instruction: Continue straight onto Rue Yves Kermen, Distance: 67.4 meters, Time: 48.5 seconds
Name: Rue Yves Kermen, Instruction: Continue straight onto Rue Yves Kermen, Distance: 180.3 meters, Time: 129.8 seconds
Name: Rue Yves Kermen, Instruction: Keep left onto Rue Yves Kermen, Distance: 73.3 meters, Time: 52.8 seconds
Name: Allée Robert Doisneau, Instruction: Turn left onto Allée Robert Doisneau, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 106.4 meters, Time: 76.6 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: Cours de l'Île Seguin, Instruction: Turn left onto Cours de l'Île Seguin, Distance: 67.3 meters, Time: 48.4 seconds
Name: -, Instruction: Arrive at Cours de l'Île Seguin, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
